date,close,buy_date,buy_close,sell_date,sell_close,sell_profit,profit_average
2019-06-12,2879.84,2019-06-13,2891.639893,2019-06-21,2950.459961,58.82006799999999,741.8796380000003
2019-06-13,2891.64,2019-06-20,2954.179932,2019-06-26,2913.780029,-40.399902999999995,65.3601050000002
2019-06-14,2886.98,2019-06-24,2945.350098,2019-06-28,2941.76001,-3.5900879999999233,-140.850097
2019-06-17,2889.67,2019-06-25,2917.379883,2019-07-01,2964.330078,46.950194999999894,9.25
2019-06-18,2917.75,2019-07-03,2995.820068,2019-07-10,2993.070068,-2.75,
2019-06-19,2926.46,2019-07-08,2975.949951,2019-07-11,2999.909912,23.95996100000002,
2019-06-20,2954.18,2019-07-17,2984.419922,2019-07-18,2995.110107,10.690184999999929,
2019-06-21,2950.46,2019-07-19,2976.610107,2019-07-22,2985.030029,8.419922000000042,
2019-06-24,2945.35,2019-07-23,3005.469971,2019-07-30,3013.179932,7.709961000000021,
2019-06-25,2917.38,2019-07-26,3025.860107,2019-08-02,2932.050049,-93.81005800000003,
2019-06-26,2913.78,2019-07-29,3020.969971,2019-08-13,2926.320068,-94.649903,
2019-06-27,2924.92,2019-08-01,2953.560059,2019-08-21,2924.429932,-29.130126999999902,
2019-06-28,2941.76,2019-08-05,2844.73999,2019-08-27,2869.159912,24.419922000000042,
2019-07-01,2964.33,2019-08-06,2881.77002,2019-08-28,2887.939941,6.1699210000001585,
2019-07-02,2973.01,2019-08-07,2883.97998,2019-08-29,2924.580078,40.60009799999989,
2019-07-03,2995.82,2019-08-09,2918.649902,2019-09-04,2937.780029,19.130126999999902,
2019-07-05,2990.41,2019-08-14,2840.600098,2019-09-06,2978.709961,138.10986300000013,
2019-07-08,2975.95,2019-08-16,2888.679932,2019-09-09,2978.429932,89.75,
2019-07-09,2979.63,2019-08-19,2923.649902,2019-09-10,2979.389893,55.73999099999992,
2019-07-10,2993.07,2019-08-23,2847.110107,2019-09-11,3000.929932,153.81982500000004,
2019-07-11,2999.91,2019-08-26,2878.379883,2019-09-12,3009.570068,131.19018499999993,
2019-07-12,3013.77,2019-09-03,2906.27002,2019-09-16,2997.959961,91.68994100000009,
2019-07-15,3014.3,2019-09-20,2992.070068,2019-09-25,2984.870117,-7.1999510000000555,
2019-07-16,3004.04,2019-09-23,2991.780029,2019-09-30,2976.73999,-15.040038999999979,
2019-07-17,2984.42,2019-09-26,2977.620117,2019-10-01,2940.25,-37.37011699999994,
2019-07-18,2995.11,2019-10-02,2887.610107,2019-10-08,2893.060059,5.449951999999939,
2019-07-19,2976.61,2019-10-07,2938.790039,2019-10-09,2919.399902,-19.390136999999868,
2019-07-22,2985.03,2019-10-16,2989.689941,2019-10-22,2995.98999,6.3000489999999445,
2019-07-23,3005.47,2019-10-24,3010.290039,2019-10-25,3022.550049,12.260009999999966,
2019-07-24,3019.56,2019-11-01,3066.909912,2019-11-04,3078.27002,11.360107999999855,
2019-07-25,3003.67,2019-11-20,3108.459961,2019-11-29,3140.97998,32.52001900000005,
2019-07-26,3025.86,2019-11-22,3110.290039,2019-12-02,3113.870117,3.5800779999999577,
2019-07-29,3020.97,2019-11-25,3133.639893,2019-12-11,3141.629883,7.989990000000034,
2019-07-30,3013.18,2019-11-26,3140.52002,2019-12-13,3168.800049,28.280029000000013,
2019-07-31,2980.38,2019-12-09,3135.959961,2019-12-16,3191.449951,55.489990000000034,
2019-08-01,2953.56,2019-12-10,3132.52002,2019-12-17,3192.52002,60.0,
2019-08-02,2932.05,2019-12-30,3221.290039,2019-12-31,3230.780029,9.489990000000034,
2019-08-05,2844.74,2020-01-02,3257.850098,2020-01-03,3234.850098,-23.0,
2019-08-06,2881.77,2020-01-06,3246.280029,2020-01-07,3237.179932,-9.100097000000005,
2019-08-07,2883.98,2020-02-11,3357.75,2020-02-13,3373.939941,16.18994100000009,
2019-08-08,2938.09,2020-02-20,3373.22998,2020-02-21,3337.75,-35.47998000000007,
2019-08-09,2918.65,2020-02-28,2954.219971,2020-03-03,3003.370117,49.15014599999995,
2019-08-12,2882.7,2020-03-02,3090.22998,2020-03-04,3130.120117,39.89013699999987,
2019-08-13,2926.32,2020-03-06,2972.370117,2020-03-09,2746.560059,-225.81005800000003,
2019-08-14,2840.6,2020-03-13,2711.02002,2020-03-16,2386.129883,-324.89013699999987,
2019-08-15,2847.6,2020-03-24,2447.330078,2020-03-26,2630.070068,182.73999000000003,
2019-08-16,2888.68,2020-03-31,2584.590088,2020-04-01,2470.5,-114.09008799999992,
2019-08-19,2923.65,2020-04-06,2663.679932,2020-04-08,2749.97998,86.30004800000006,
2019-08-20,2900.51,2020-04-16,2799.550049,2020-04-17,2874.560059,75.01000999999997,
2019-08-21,2924.43,2020-05-04,2842.73999,2020-05-06,2848.419922,5.679932000000008,
2019-08-22,2922.95,2020-05-19,2922.939941,2020-05-20,2971.610107,48.67016599999988,
2019-08-23,2847.11,2020-06-03,3122.870117,2020-06-05,3193.929932,71.05981500000007,
2019-08-26,2878.38,2020-06-04,3112.350098,2020-06-08,3232.389893,120.03979500000014,
2019-08-27,2869.16,2020-06-09,3207.179932,2020-06-10,3190.139893,-17.04003899999998,
2019-08-28,2887.94,,,,,,
2019-08-29,2924.58,,,,,,
2019-08-30,2926.46,,,,,,
2019-09-03,2906.27,,,,,,
2019-09-04,2937.78,,,,,,
2019-09-05,2976.0,,,,,,
2019-09-06,2978.71,,,,,,
2019-09-09,2978.43,,,,,,
2019-09-10,2979.39,,,,,,
2019-09-11,3000.93,,,,,,
2019-09-12,3009.57,,,,,,
2019-09-13,3007.39,,,,,,
2019-09-16,2997.96,,,,,,
2019-09-17,3005.7,,,,,,
2019-09-18,3006.73,,,,,,
2019-09-19,3006.79,,,,,,
2019-09-20,2992.07,,,,,,
2019-09-23,2991.78,,,,,,
2019-09-24,2966.6,,,,,,
2019-09-25,2984.87,,,,,,
2019-09-26,2977.62,,,,,,
2019-09-27,2961.79,,,,,,
2019-09-30,2976.74,,,,,,
2019-10-01,2940.25,,,,,,
2019-10-02,2887.61,,,,,,
2019-10-03,2910.63,,,,,,
2019-10-04,2952.01,,,,,,
2019-10-07,2938.79,,,,,,
2019-10-08,2893.06,,,,,,
2019-10-09,2919.4,,,,,,
2019-10-10,2938.13,,,,,,
2019-10-11,2970.27,,,,,,
2019-10-14,2966.15,,,,,,
2019-10-15,2995.68,,,,,,
2019-10-16,2989.69,,,,,,
2019-10-17,2997.95,,,,,,
2019-10-18,2986.2,,,,,,
2019-10-21,3006.72,,,,,,
2019-10-22,2995.99,,,,,,
2019-10-23,3004.52,,,,,,
2019-10-24,3010.29,,,,,,
2019-10-25,3022.55,,,,,,
2019-10-28,3039.42,,,,,,
2019-10-29,3036.89,,,,,,
2019-10-30,3046.77,,,,,,
2019-10-31,3037.56,,,,,,
2019-11-01,3066.91,,,,,,
2019-11-04,3078.27,,,,,,
2019-11-05,3074.62,,,,,,
2019-11-06,3076.78,,,,,,
2019-11-07,3085.18,,,,,,
2019-11-08,3093.08,,,,,,
2019-11-11,3087.01,,,,,,
2019-11-12,3091.84,,,,,,
2019-11-13,3094.04,,,,,,
2019-11-14,3096.63,,,,,,
2019-11-15,3120.46,,,,,,
2019-11-18,3122.03,,,,,,
2019-11-19,3120.18,,,,,,
2019-11-20,3108.46,,,,,,
2019-11-21,3103.54,,,,,,
2019-11-22,3110.29,,,,,,
2019-11-25,3133.64,,,,,,
2019-11-26,3140.52,,,,,,
2019-11-27,3153.63,,,,,,
2019-11-29,3140.98,,,,,,
2019-12-02,3113.87,,,,,,
2019-12-03,3093.2,,,,,,
2019-12-04,3112.76,,,,,,
2019-12-05,3117.43,,,,,,
2019-12-06,3145.91,,,,,,
2019-12-09,3135.96,,,,,,
2019-12-10,3132.52,,,,,,
2019-12-11,3141.63,,,,,,
2019-12-12,3168.57,,,,,,
2019-12-13,3168.8,,,,,,
2019-12-16,3191.45,,,,,,
2019-12-17,3192.52,,,,,,
2019-12-18,3191.14,,,,,,
2019-12-19,3205.37,,,,,,
2019-12-20,3221.22,,,,,,
2019-12-23,3224.01,,,,,,
2019-12-24,3223.38,,,,,,
2019-12-26,3239.91,,,,,,
2019-12-27,3240.02,,,,,,
2019-12-30,3221.29,,,,,,
2019-12-31,3230.78,,,,,,
2020-01-02,3257.85,,,,,,
2020-01-03,3234.85,,,,,,
2020-01-06,3246.28,,,,,,
2020-01-07,3237.18,,,,,,
2020-01-08,3253.05,,,,,,
2020-01-09,3274.7,,,,,,
2020-01-10,3265.35,,,,,,
2020-01-13,3288.13,,,,,,
2020-01-14,3283.15,,,,,,
2020-01-15,3289.29,,,,,,
2020-01-16,3316.81,,,,,,
2020-01-17,3329.62,,,,,,
2020-01-21,3320.79,,,,,,
2020-01-22,3321.75,,,,,,
2020-01-23,3325.54,,,,,,
2020-01-24,3295.47,,,,,,
2020-01-27,3243.63,,,,,,
2020-01-28,3276.24,,,,,,
2020-01-29,3273.4,,,,,,
2020-01-30,3283.66,,,,,,
2020-01-31,3225.52,,,,,,
2020-02-03,3248.92,,,,,,
2020-02-04,3297.59,,,,,,
2020-02-05,3334.69,,,,,,
2020-02-06,3345.78,,,,,,
2020-02-07,3327.71,,,,,,
2020-02-10,3352.09,,,,,,
2020-02-11,3357.75,,,,,,
2020-02-12,3379.45,,,,,,
2020-02-13,3373.94,,,,,,
2020-02-14,3380.16,,,,,,
2020-02-18,3370.29,,,,,,
2020-02-19,3386.15,,,,,,
2020-02-20,3373.23,,,,,,
2020-02-21,3337.75,,,,,,
2020-02-24,3225.89,,,,,,
2020-02-25,3128.21,,,,,,
2020-02-26,3116.39,,,,,,
2020-02-27,2978.76,,,,,,
2020-02-28,2954.22,,,,,,
2020-03-02,3090.23,,,,,,
2020-03-03,3003.37,,,,,,
2020-03-04,3130.12,,,,,,
2020-03-05,3023.94,,,,,,
2020-03-06,2972.37,,,,,,
2020-03-09,2746.56,,,,,,
2020-03-10,2882.23,,,,,,
2020-03-11,2741.38,,,,,,
2020-03-12,2480.64,,,,,,
2020-03-13,2711.02,,,,,,
2020-03-16,2386.13,,,,,,
2020-03-17,2529.19,,,,,,
2020-03-18,2398.1,,,,,,
2020-03-19,2409.39,,,,,,
2020-03-20,2304.92,,,,,,
2020-03-23,2237.4,,,,,,
2020-03-24,2447.33,,,,,,
2020-03-25,2475.56,,,,,,
2020-03-26,2630.07,,,,,,
2020-03-27,2541.47,,,,,,
2020-03-30,2626.65,,,,,,
2020-03-31,2584.59,,,,,,
2020-04-01,2470.5,,,,,,
2020-04-02,2526.9,,,,,,
2020-04-03,2488.65,,,,,,
2020-04-06,2663.68,,,,,,
2020-04-07,2659.41,,,,,,
2020-04-08,2749.98,,,,,,
2020-04-09,2789.82,,,,,,
2020-04-13,2761.63,,,,,,
2020-04-14,2846.06,,,,,,
2020-04-15,2783.36,,,,,,
2020-04-16,2799.55,,,,,,
2020-04-17,2874.56,,,,,,
2020-04-20,2823.16,,,,,,
2020-04-21,2736.56,,,,,,
2020-04-22,2799.31,,,,,,
2020-04-23,2797.8,,,,,,
2020-04-24,2836.74,,,,,,
2020-04-27,2878.48,,,,,,
2020-04-28,2863.39,,,,,,
2020-04-29,2939.51,,,,,,
2020-04-30,2912.43,,,,,,
2020-05-01,2830.71,,,,,,
2020-05-04,2842.74,,,,,,
2020-05-05,2868.44,,,,,,
2020-05-06,2848.42,,,,,,
2020-05-07,2881.19,,,,,,
2020-05-08,2929.8,,,,,,
2020-05-11,2930.19,,,,,,
2020-05-12,2870.12,,,,,,
2020-05-13,2820.0,,,,,,
2020-05-14,2852.5,,,,,,
2020-05-15,2863.7,,,,,,
2020-05-18,2953.91,,,,,,
2020-05-19,2922.94,,,,,,
2020-05-20,2971.61,,,,,,
2020-05-21,2948.51,,,,,,
2020-05-22,2955.45,,,,,,
2020-05-26,2991.77,,,,,,
2020-05-27,3036.13,,,,,,
2020-05-28,3029.73,,,,,,
2020-05-29,3044.31,,,,,,
2020-06-01,3055.73,,,,,,
2020-06-02,3080.82,,,,,,
2020-06-03,3122.87,,,,,,
2020-06-04,3112.35,,,,,,
2020-06-05,3193.93,,,,,,
2020-06-08,3232.39,,,,,,
2020-06-09,3207.18,,,,,,
2020-06-10,3190.14,,,,,,
2020-06-11,3002.1,,,,,,
